I,0.075,0.055,0.010,0.002,0.001,0.001,0.002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,0.415,0.325,0.140,0.417,0.154,0.102,0.144,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,0.620,0.500,0.170,1.148,0.548,0.220,0.332,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,0.675,0.570,0.225,1.587,0.739,0.300,0.435,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,0.395,0.295,0.095,0.225,0.078,0.054,0.080,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
I,0.350,0.260,0.085,0.174,0.071,0.035,0.060,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,0.350,0.275,0.065,0.205,0.075,0.047,0.070,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,0.455,0.360,0.110,0.439,0.206,0.098,0.125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,0.585,0.435,0.175,0.982,0.406,0.250,0.270,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,0.600,0.480,0.165,1.135,0.454,0.270,0.335,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,0.430,0.350,0.110,0.406,0.168,0.081,0.135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
I,0.435,0.340,0.110,0.407,0.169,0.073,0.130,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,0.375,0.280,0.095,0.223,0.088,0.043,0.080,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
I,0.610,0.475,0.150,0.967,0.415,0.200,0.345,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,0.635,0.510,0.155,0.986,0.405,0.226,0.310,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,0.510,0.400,0.140,0.652,0.246,0.167,0.185,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,0.635,0.475,0.170,1.194,0.521,0.270,0.367,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,0.595,0.475,0.165,1.148,0.444,0.214,0.370,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,0.590,0.465,0.170,1.043,0.464,0.240,0.270,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
